"Group","Mouse","Tumor","ID","Day","Volume","death","last_day_obs","sac_day"
"JQ1","936","R","936:R",22,NA,1,19,22
"JQ1","936","L","936:L",22,NA,0,19,22
"JQ1","971","R","971:R",22,2240.31800608,0,35,NA
"JQ1","971","L","971:L",22,1025.956692,0,35,NA
"JQ1","952","R","952:R",22,NA,1,19,22
"JQ1","952","L","952:L",22,NA,0,19,22
"JQ1","958","R","958:R",22,1899.35283375,0,35,NA
"JQ1","958","L","958:L",22,536.02731504,0,35,NA
"JQ1+ XRT","991","R","991:R",22,134.20949535,0,35,NA
"JQ1+ XRT","991","L","991:L",22,20.92941252,0,35,NA
"JQ1+ XRT","965","R","965:R",22,336.142911573333,0,35,NA
"JQ1+ XRT","965","L","965:L",22,251.05026753,0,35,NA
"JQ1+ XRT","956","R","956:R",22,459.54350904,0,35,NA
"JQ1+ XRT","956","L","956:L",22,155.65678336,0,35,NA
"JQ1+ XRT","972(no tag)","R","972(no tag):R",22,386.375898906667,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",22,383.764389166667,0,35,NA
"JQ1+ XRT","954","R","954:R",22,334.368109783333,0,35,NA
"JQ1+ XRT","954","L","954:L",22,275.28922278,0,35,NA
"JQ1+ XRT","999","R","999:R",22,409.4052576,0,35,NA
"JQ1+ XRT","999","L","999:L",22,53.0431826666667,0,35,NA
"JQ1+ XRT","847","R","847:R",22,NA,0,19,22
"JQ1+ XRT","847","L","847:L",22,NA,1,19,22
"JQ1+ XRT","848","R","848:R",22,NA,1,19,22
"JQ1+ XRT","848","L","848:L",22,NA,0,19,22
"JQ1+ XRT","996","R","996:R",22,225.85897854,0,35,NA
"JQ1+ XRT","996","L","996:L",22,35.0207130666667,0,35,NA
"JQ1+ XRT","967","R","967:R",22,260.54651458,0,35,NA
"JQ1+ XRT","967","L","967:L",22,160.455248673333,0,35,NA
"JQ1","970","R","970:R",27,2383.11387225,0,35,NA
"JQ1","970","L","970:L",27,1237.40383513,0,35,NA
"JQ1","935","R","935:R",27,2374.35712712333,0,35,NA
"JQ1","935","L","935:L",27,1915.66898496,0,35,NA
"JQ1","934 (dead)","R","934 (dead):R",27,NA,0,3,6
"JQ1","934 (dead)","L","934 (dead):L",27,NA,1,3,6
"JQ1","977","R","977:R",27,NA,0,19,22
"JQ1","977","L","977:L",27,NA,1,19,22
"JQ1","961","R","961:R",27,1203.10956420333,0,35,NA
"JQ1","961","L","961:L",27,227.797141446667,0,35,NA
"JQ1","936","R","936:R",27,NA,1,19,22
"JQ1","936","L","936:L",27,NA,0,19,22
"JQ1","971","R","971:R",27,3492.05470876,0,35,NA
"JQ1","971","L","971:L",27,1912.58860257,0,35,NA
"JQ1","952","R","952:R",27,NA,1,19,22
"JQ1","952","L","952:L",27,NA,0,19,22
"JQ1","958","R","958:R",27,2305.07443122667,0,35,NA
"JQ1","958","L","958:L",27,944.54777088,0,35,NA
"JQ1+ XRT","991","R","991:R",27,127.10157312,0,35,NA
"JQ1+ XRT","991","L","991:L",27,12.50131968,0,35,NA
"JQ1+ XRT","965","R","965:R",27,144.417791826667,0,35,NA
"JQ1+ XRT","965","L","965:L",27,382.76287884,0,35,NA
"JQ1+ XRT","956","R","956:R",27,545.640851556667,0,35,NA
"JQ1+ XRT","956","L","956:L",27,138.704610496667,0,35,NA
"JQ1+ XRT","972(no tag)","R","972(no tag):R",27,372.91879044,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",27,127.718386346667,0,35,NA
"JQ1+ XRT","954","R","954:R",27,832.07488,0,35,NA
"JQ1+ XRT","954","L","954:L",27,137.346040303333,0,35,NA
"JQ1+ XRT","999","R","999:R",27,475.78515276,0,35,NA
"JQ1+ XRT","999","L","999:L",27,42.21837388,0,35,NA
"JQ1+ XRT","847","R","847:R",27,NA,0,19,22
